FBS (%),ITS (1x),bFGF (ng/mL),ascorbic acid (µg/mL),Lipids (1000X),YE 903 (mg/mL),Nutek YE FP100 (µL/mL),Flaxseed Extract,Cell Boost 5 % (µL/mL),Cell Boost 6 % (µL/mL),Kerry mix (1510/7504/4601N) (µL/mL), Kerry mix (1510/YE) (µL/mL),Chlorella (µL/mL),Red Hardtii (µg/mL),Green Hardtii (µg/mL),Nanochloropsis (µg/mL),L-glutathione reduced (X),Superoxide Dismutase (X),DL-alpha-tocopherol acetate (X),Seratonine Creatinine Sulfate Monohydrate (ng/mL), NRG1 (ng/mL),Total Cell count (in 0.33cm2)
2,1,10,10,1,0,0,0,0,50,0,5,0,0,0,0,0,0,0,0,0,18503
2,1,10,10,1,0,2,0,0,50,0,5,2,0,0,0,0,0,0,0,0,20360.5
0.5,1,10,10,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6797.75
0.5,1,10,10,1,0,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5299
2,1,10,10,1,0,2,0,50,50,5,5,2,0,0,0,0,0,0,0,0,7944.75
2,1,10,10,1,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,14526
1.25,1,10,10,1,0,1,0,25,25,2.5,2.5,1,0,0,0,0,0,0,0,0,13809.25
2,1,10,10,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6020.5
0.5,1,10,10,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,13553.5
0.5,1,10,10,1,0,2,0,50,50,0,0,0,0,0,0,0,0,0,0,0,9788.5
0.5,1,10,10,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6124.666667
2,1,10,10,1,0,2,0,50,50,0,5,0,0,0,0,0,0,0,0,0,8625.25
0.5,1,10,10,1,0,0,0,0,50,5,5,0,0,0,0,0,0,0,0,0,13765.5
0.5,1,10,10,1,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,5773
0.5,1,10,10,1,0,0,0,50,0,0,5,2,0,0,0,0,0,0,0,0,10154
0.5,1,10,10,1,0,0,0,50,50,0,0,2,0,0,0,0,0,0,0,0,10046
0.5,1,10,10,1,0,0,0,50,50,5,0,0,0,0,0,0,0,0,0,0,8318.75
0.5,1,10,10,1,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,4843.75
0.5,1,10,10,1,0,0,0,50,0,5,5,0,0,0,0,0,0,0,0,0,4672.5
0.5,1,10,10,1,0,2,0,50,50,5,0,2,0,0,0,0,0,0,0,0,6015
0.5,1,10,10,1,0,0,0,50,0,5,0,2,0,0,0,0,0,0,0,0,5566.5
0.5,1,10,10,1,0,2,0,50,50,5,5,0,0,0,0,0,0,0,0,0,4360
0.5,1,10,10,1,0,2,0,50,0,5,5,2,0,0,0,0,0,0,0,0,4009.75
2,1,10,10,1,0,0,0,50,0,5,5,2,0,0,0,0,0,0,0,0,2928.5
2,1,10,10,1,0,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,14755.75
0.5,1,10,10,1,0,2,0,50,0,5,0,0,0,0,0,0,0,0,0,0,6513.25
2,1,10,10,1,0,0,0,50,50,0,5,2,0,0,0,0,0,0,0,0,11550.5
0.5,1,10,10,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5035.25
2,1,10,10,1,0,2,0,0,50,5,5,0,0,0,0,0,0,0,0,0,16193.25
0.5,1,10,10,1,0,2,0,50,0,0,5,0,0,0,0,0,0,0,0,0,9236.75
1.25,1,10,10,1,0,1,0,25,25,2.5,2.5,1,0,0,0,0,0,0,0,0,14229
2,1,10,10,1,0,2,0,50,0,0,5,2,0,0,0,0,0,0,0,0,9250.5
0.5,1,10,10,1,0,2,0,0,50,0,0,2,0,0,0,0,0,0,0,0,11723
2,1,10,10,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7057.75
2,1,10,10,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5659.25
0.5,1,10,10,1,0,2,0,50,0,0,0,2,0,0,0,0,0,0,0,0,9779.25
2,1,10,10,1,0,2,0,50,0,5,0,2,0,0,0,0,0,0,0,0,7323
2,1,10,10,1,0,0,0,0,50,5,0,0,0,0,0,0,0,0,0,0,15115
2,1,10,10,1,0,2,0,0,50,5,0,2,0,0,0,0,0,0,0,0,13699.5
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5669.75
1.25,1,10,10,1,0,1,0,25,25,2.5,2.5,1,0,0,0,0,0,0,0,0,11055.66667
2,1,10,10,1,0,0,0,50,0,0,5,0,0,0,0,0,0,0,0,0,6616.25
0.5,1,10,10,1,0,2,0,0,50,5,5,2,0,0,0,0,0,0,0,0,11782
0.5,1,10,10,1,0,0,0,0,50,5,0,2,0,0,0,0,0,0,0,0,10435
2,1,10,10,1,0,2,0,0,0,5,5,2,0,0,0,0,0,0,0,0,6172.5
0.5,1,10,10,1,0,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,5008.75
0.5,1,10,10,1,0,2,0,50,50,0,5,2,0,0,0,0,0,0,0,0,6674.5
2,1,10,10,1,0,2,0,50,50,5,0,0,0,0,0,0,0,0,0,0,7552
2,1,10,10,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5820.75
2,1,10,10,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,6535.75
0.5,1,10,10,1,0,0,0,50,50,0,5,0,0,0,0,0,0,0,0,0,6168
2,1,10,10,1,0,0,0,50,50,5,5,0,0,0,0,0,0,0,0,0,7078
2,1,10,10,1,0,0,0,50,0,5,0,0,0,0,0,0,0,0,0,0,5317
2,1,10,10,1,0,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,10318.5
2,1,10,10,1,0,0,0,0,50,0,0,2,0,0,0,0,0,0,0,0,14557
2,1,10,10,1,0,2,0,50,50,0,0,2,0,0,0,0,0,0,0,0,11273
2,1,10,10,1,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,11522
0.5,1,10,10,1,0,0,0,50,50,5,5,2,0,0,0,0,0,0,0,0,2469.75
2,1,10,10,1,0,2,0,50,0,5,5,0,0,0,0,0,0,0,0,0,2253.5
2,1,10,10,1,0,0,0,50,50,5,0,2,0,0,0,0,0,0,0,0,9767.5
0.5,1,10,10,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,8779
2,1,10,10,1,0,0,0,0,50,5,5,2,0,0,0,0,0,0,0,0,12753.75
1.25,1,10,10,1,0,1,0,25,25,2.5,2.5,1,0,0,0,0,0,0,0,0,9780
0.5,1,10,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5307.75
0.5,1,10,10,1,0,0,0,0,50,0,5,2,0,0,0,0,0,0,0,0,11845
0.5,1,10,10,1,0,2,0,0,50,0,5,0,0,0,0,0,0,0,0,0,10607.25
2,1,10,10,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,5941.5
0.5,1,10,10,1,0,2,0,0,50,5,0,0,0,0,0,0,0,0,0,0,13788.25
1,1,10,10,1,0.1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,5413.75
0,1,10,10,1,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3759.75
1,1,10,10,1,0.1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5760.75
0,1,10,10,1,0.1,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,4009.75
2,1,10,10,1,0.1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4639.75
2,1,10,10,1,0.1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8948.5
1.5,1,10,10,1,0.1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,8319
1,1,10,10,1,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6275.75
1,1,10,10,1,0.1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3365
2,1,10,10,1,0.1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,5357.25
0,1,10,10,1,0.1,0,0,1.5,4,0,0,0,0,0,0,0,0,0,0,0,4329.75
1.5,1,10,10,1,0.1,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,6614.5
0,1,10,10,1,0.1,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,4168.25
0.5,1,10,10,1,0.1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,5824.75
0.5,1,10,10,1,0.1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,4789.5
0,1,10,10,1,0.1,0,0,0.5,8,0,0,0,0,0,0,0,0,0,0,0,2993
0.5,1,10,10,1,0.1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1982.333333
2,1,10,10,1,0.1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4881
0.5,1,10,10,1,0.1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3496.75
0.5,1,10,10,1,0.1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,2812
0,1,10,10,1,0.1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4627.25
1.5,1,10,10,1,0.1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,5062.5
1,1,10,10,1,0,0,0,2,8,0,0,0.1,0,0,0,0,0,0,0,0,6702.25
0,1,10,10,1,0,0,0,0,10,0,0,0.1,0,0,0,0,0,0,0,0,4131.25
1,1,10,10,1,0,0,0,0,4,0,0,0.1,0,0,0,0,0,0,0,0,5434.5
0,1,10,10,1,0,0,0,2,10,0,0,0.1,0,0,0,0,0,0,0,0,3596.75
2,1,10,10,1,0,0,0,1,2,0,0,0.1,0,0,0,0,0,0,0,0,5229
2,1,10,10,1,0,0,0,0,8,0,0,0.1,0,0,0,0,0,0,0,0,8946
1.5,1,10,10,1,0,0,0,1,10,0,0,0.1,0,0,0,0,0,0,0,0,5194
1,1,10,10,1,0,0,0,0,10,0,0,0.1,0,0,0,0,0,0,0,0,4858
1,1,10,10,1,0,0,0,0,4,0,0,0.1,0,0,0,0,0,0,0,0,4188.75
2,1,10,10,1,0,0,0,2,6,0,0,0.1,0,0,0,0,0,0,0,0,6041
0,1,10,10,1,0,0,0,1.5,4,0,0,0.1,0,0,0,0,0,0,0,0,3992
1.5,1,10,10,1,0,0,0,0.5,6,0,0,0.1,0,0,0,0,0,0,0,0,8856.25
0,1,10,10,1,0,0,0,0.5,2,0,0,0.1,0,0,0,0,0,0,0,0,4033.5
0.5,1,10,10,1,0,0,0,1,6,0,0,0.1,0,0,0,0,0,0,0,0,5386.25
0.5,1,10,10,1,0,0,0,1,10,0,0,0.1,0,0,0,0,0,0,0,0,5539.5
0,1,10,10,1,0,0,0,0.5,8,0,0,0.1,0,0,0,0,0,0,0,0,3049.75
0.5,1,10,10,1,0,0,0,1,6,0,0,0.1,0,0,0,0,0,0,0,0,2516.25
2,1,10,10,1,0,0,0,1,2,0,0,0.1,0,0,0,0,0,0,0,0,3350.25
0.5,1,10,10,1,0,0,0,2,2,0,0,0.1,0,0,0,0,0,0,0,0,2359.75
0.5,1,10,10,1,0,0,0,1,6,0,0,0.1,0,0,0,0,0,0,0,0,3212
0,1,10,10,1,0,0,0,0,6,0,0,0.1,0,0,0,0,0,0,0,0,4135.25
1.5,1,10,10,1,0,0,0,1,10,0,0,0.1,0,0,0,0,0,0,0,0,4308
1,1,10,10,1,0,0,0,2,8,0.5,0,0,0,0,0,0,0,0,0,0,3459
0,1,10,10,1,0,0,0,0,10,0.5,0,0,0,0,0,0,0,0,0,0,3222
1,1,10,10,1,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,4052.25
0,1,10,10,1,0,0,0,2,10,0.5,0,0,0,0,0,0,0,0,0,0,2897
2,1,10,10,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,4805
2,1,10,10,1,0,0,0,0,8,0.5,0,0,0,0,0,0,0,0,0,0,6611.75
1.5,1,10,10,1,0,0,0,1,10,0.5,0,0,0,0,0,0,0,0,0,0,5532.5
1,1,10,10,1,0,0,0,0,10,0.5,0,0,0,0,0,0,0,0,0,0,4433.25
1,1,10,10,1,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,3382.333333
2,1,10,10,1,0,0,0,2,6,0.5,0,0,0,0,0,0,0,0,0,0,4020.75
0,1,10,10,1,0,0,0,1.5,4,0.5,0,0,0,0,0,0,0,0,0,0,4025
1.5,1,10,10,1,0,0,0,0.5,6,0.5,0,0,0,0,0,0,0,0,0,0,5787
0,1,10,10,1,0,0,0,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4204.25
0.5,1,10,10,1,0,0,0,1,6,0.5,0,0,0,0,0,0,0,0,0,0,4831
0.5,1,10,10,1,0,0,0,1,10,0.5,0,0,0,0,0,0,0,0,0,0,3972.75
0,1,10,10,1,0,0,0,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,2881.25
0.5,1,10,10,1,0,0,0,1,6,0.5,0,0,0,0,0,0,0,0,0,0,2028.5
2,1,10,10,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,2040.25
0.5,1,10,10,1,0,0,0,2,2,0.5,0,0,0,0,0,0,0,0,0,0,2785
0.5,1,10,10,1,0,0,0,1,6,0.5,0,0,0,0,0,0,0,0,0,0,3354
0,1,10,10,1,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,3366.5
1.5,1,10,10,1,0,0,0,1,10,0.5,0,0,0,0,0,0,0,0,0,0,3028.75
1,1,10,10,1,0.1,0,0,2,8,0.5,0,0,0,0,0,0,0,0,0,0,2738.75
0,1,10,10,1,0.1,0,0,0,10,0.5,0,0,0,0,0,0,0,0,0,0,3017
1,1,10,10,1,0.1,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,3890
0,1,10,10,1,0.1,0,0,2,10,0.5,0,0,0,0,0,0,0,0,0,0,3186.25
2,1,10,10,1,0.1,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,4217.25
2,1,10,10,1,0.1,0,0,0,8,0.5,0,0,0,0,0,0,0,0,0,0,5535.25
1.5,1,10,10,1,0.1,0,0,1,10,0.5,0,0,0,0,0,0,0,0,0,0,4235.25
1,1,10,10,1,0.1,0,0,0,10,0.5,0,0,0,0,0,0,0,0,0,0,3123.666667
1,1,10,10,1,0.1,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,3463.5
2,1,10,10,1,0.1,0,0,2,6,0.5,0,0,0,0,0,0,0,0,0,0,4291.25
0,1,10,10,1,0.1,0,0,1.5,4,0.5,0,0,0,0,0,0,0,0,0,0,4379.25
1.5,1,10,10,1,0.1,0,0,0.5,6,0.5,0,0,0,0,0,0,0,0,0,0,5651
0,1,10,10,1,0.1,0,0,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4782
0.5,1,10,10,1,0.1,0,0,1,6,0.5,0,0,0,0,0,0,0,0,0,0,4710
0.5,1,10,10,1,0.1,0,0,1,10,0.5,0,0,0,0,0,0,0,0,0,0,3960
0,1,10,10,1,0.1,0,0,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,2849
0.5,1,10,10,1,0.1,0,0,1,6,0.5,0,0,0,0,0,0,0,0,0,0,3318
2,1,10,10,1,0.1,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,4187
0.5,1,10,10,1,0.1,0,0,2,2,0.5,0,0,0,0,0,0,0,0,0,0,3272
0.5,1,10,10,1,0.1,0,0,1,6,0.5,0,0,0,0,0,0,0,0,0,0,3693.25
0,1,10,10,1,0.1,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,3752.5
1.5,1,10,10,1,0.1,0,0,1,10,0.5,0,0,0,0,0,0,0,0,0,0,3834.5
2,1,10,10,1,0,0,0,0,0,0,0,10,4,30,10,0,0,0,0,0,2361.75
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,2414.25
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,2061.5
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,2406.75
2,1,10,10,1,0,0,0,0,0,0,0,20,4,20,0,0,0,0,0,0,2308.25
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,15,0,0,0,0,0,2461.5
2,1,10,10,1,0,0,0,0,0,0,0,10,6,20,0,0,0,0,0,0,2459.75
2,1,10,10,1,0,0,0,0,0,0,0,15,5,35,5,0,0,0,0,0,2489
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,2239.5
2,1,10,10,1,0,0,0,0,0,0,0,20,6,20,0,0,0,0,0,0,1947.25
2,1,10,10,1,0,0,0,0,0,0,0,10,6,30,10,0,0,0,0,0,1824.25
2,1,10,10,1,0,0,0,0,0,0,0,15,7,25,5,0,0,0,0,0,1818
2,1,10,10,1,0,0,0,0,0,0,0,20,6,30,0,0,0,0,0,0,1738.75
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,1822.5
2,1,10,10,1,0,0,0,0,0,0,0,10,6,30,0,0,0,0,0,0,2310.25
2,1,10,10,1,0,0,0,0,0,0,0,10,4,30,0,0,0,0,0,0,2311.75
2,1,10,10,1,0,0,0,0,0,0,0,15,3,25,5,0,0,0,0,0,1661.75
2,1,10,10,1,0,0,0,0,0,0,0,15,5,15,5,0,0,0,0,0,1799
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,1667
2,1,10,10,1,0,0,0,0,0,0,0,10,6,20,10,0,0,0,0,0,1736.25
2,1,10,10,1,0,0,0,0,0,0,0,20,6,20,10,0,0,0,0,0,1851
2,1,10,10,1,0,0,0,0,0,0,0,25,5,25,5,0,0,0,0,0,1682.75
2,1,10,10,1,0,0,0,0,0,0,0,20,6,30,10,0,0,0,0,0,1692
2,1,10,10,1,0,0,0,0,0,0,0,20,4,30,0,0,0,0,0,0,1714.5
2,1,10,10,1,0,0,0,0,0,0,0,5,5,25,5,0,0,0,0,0,1694.25
2,1,10,10,1,0,0,0,0,0,0,0,10,4,20,0,0,0,0,0,0,1631.75
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,-5,0,0,0,0,0,1982.5
2,1,10,10,1,0,0,0,0,0,0,0,10,4,20,10,0,0,0,0,0,1835.25
2,1,10,10,1,0,0,0,0,0,0,0,20,4,20,10,0,0,0,0,0,1821.25
2,1,10,10,1,0,0,0,0,0,0,0,20,4,30,10,0,0,0,0,0,1457.5
2,1,10,10,1,0,0,0,0,0,0,0,10,4,30,10,0,0,0,0,0,6146.25
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,6485
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,5972.5
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,5422
2,1,10,10,1,0,0,0,0,0,0,0,20,4,20,0,0,0,0,0,0,5611.333333
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,15,0,0,0,0,0,4048.75
2,1,10,10,1,0,0,0,0,0,0,0,10,6,20,0,0,0,0,0,0,5312
2,1,10,10,1,0,0,0,0,0,0,0,15,5,35,5,0,0,0,0,0,4039.75
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,6189.25
2,1,10,10,1,0,0,0,0,0,0,0,20,6,20,0,0,0,0,0,0,6935.25
2,1,10,10,1,0,0,0,0,0,0,0,10,6,30,10,0,0,0,0,0,5647.75
2,1,10,10,1,0,0,0,0,0,0,0,15,7,25,5,0,0,0,0,0,6042.5
2,1,10,10,1,0,0,0,0,0,0,0,20,6,30,0,0,0,0,0,0,6334.75
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,5203
2,1,10,10,1,0,0,0,0,0,0,0,10,6,30,0,0,0,0,0,0,5964.5
2,1,10,10,1,0,0,0,0,0,0,0,10,4,30,0,0,0,0,0,0,5301.25
2,1,10,10,1,0,0,0,0,0,0,0,15,3,25,5,0,0,0,0,0,5876
2,1,10,10,1,0,0,0,0,0,0,0,15,5,15,5,0,0,0,0,0,5676.5
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,5,0,0,0,0,0,6126.25
2,1,10,10,1,0,0,0,0,0,0,0,10,6,20,10,0,0,0,0,0,5343.5
2,1,10,10,1,0,0,0,0,0,0,0,20,6,20,10,0,0,0,0,0,4484.75
2,1,10,10,1,0,0,0,0,0,0,0,25,5,25,5,0,0,0,0,0,5167.5
2,1,10,10,1,0,0,0,0,0,0,0,20,6,30,10,0,0,0,0,0,4781.5
2,1,10,10,1,0,0,0,0,0,0,0,20,4,30,0,0,0,0,0,0,5391.5
2,1,10,10,1,0,0,0,0,0,0,0,5,5,25,5,0,0,0,0,0,5031.75
2,1,10,10,1,0,0,0,0,0,0,0,10,4,20,0,0,0,0,0,0,5355.5
2,1,10,10,1,0,0,0,0,0,0,0,15,5,25,-5,0,0,0,0,0,5175.75
2,1,10,10,1,0,0,0,0,0,0,0,10,4,20,10,0,0,0,0,0,3691.75
2,1,10,10,1,0,0,0,0,0,0,0,20,4,20,10,0,0,0,0,0,4285.25
2,1,10,10,1,0,0,0,0,0,0,0,20,4,30,10,0,0,0,0,0,4379.75
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4061
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3752
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3434
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3087.333333
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2941.75
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2622.5
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2500.5
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2303.25
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,3773.333333
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3755.5
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3735.25
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3291.75
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2800.25
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2577.333333
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2429
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2088.5
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,2873.25
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2861
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2668.25
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2500.25
